12834
8849800/20833 8347800/20833 26545600/62501 26206600/62501 
11383166/20833 -3700/20833 2732/5 0/5 
1400024/62501 37625202/62501 1425024/62501 37625302/62501 
31474400/62499 31225400/62499 31470600/62501 30024600/62501 
9716566/20833 -13700/20833 29149598/62499 -16100/62499 
35340600/62501 14991600/62501 11779800/20833 5002800/20833 
-496/1 -400/1 -12400/25 2496/25 
898300/20833 8796266/20833 498300/20833 8797866/20833 
28939400/62499 22465400/62499 29060600/62501 22466600/62501 
32854400/62499 11268400/62499 32645600/62501 11269600/62501 
10007/25 -10250/25 10009/25 -10250/25 
21540600/62501 27436600/62501 7179800/20833 9187800/20833 
27625600/62501 6289600/62501 442/1 100/1 
6590600/62501 14876600/62501 7659400/62499 14880400/62499 
4214800/20833 3716800/20833 12855600/62501 11151600/62501 
206/1 100/1 12874400/62499 6348400/62499 
15210600/62501 27589600/62501 5069800/20833 9136800/20833 
9109400/62499 10113400/62499 9105600/62501 11136600/62501 
7579800/20833 11646800/20833 22735600/62501 33809600/62501 
19104400/62499 11323400/62499 18895600/62501 11324600/62501 
26560600/62501 22456600/62501 26559400/62499 22543400/62499 
30339400/62499 15028400/62499 30335600/62501 16221600/62501 
37518/125 -53000/125 37528/125 -53000/125 
5350/11 1095/11 486/1 100/1 
8829800/20833 11651800/20833 26510600/62501 34956600/62501 
12194800/20833 5417800/20833 36580600/62501 17496600/62501 
15310600/62501 22411600/62501 5479800/20833 7471800/20833 
43884098/62499 -75038/62499 43883998/62499 -50038/62499 
-59952/125 37500/125 -476/1 300/1 
12850600/62501 12401600/62501 12849400/62499 12598400/62499 
10234400/62499 33640400/62499 10230600/62501 32609600/62501 
35164400/62499 16240400/62499 35335600/62501 16241600/62501 
15294400/62499 26338400/62499 15205600/62501 26339600/62501 
8944400/62499 23635400/62499 8940600/62501 22614600/62501 
2686100/62501 28611202/62501 2711100/62501 28611302/62501 
37639498/62499 1224920/62499 37625502/62501 1225020/62501 
75000/125 -62902/125 75000/125 -62852/125 
33870302/62501 4940100/62501 33870202/62501 4915100/62501 
23895600/62501 11304600/62501 7964800/20833 3731800/20833 
3949918/62499 50128898/62499 1308306/20833 16709666/20833 
25260600/62501 34951600/62501 8829800/20833 11651800/20833 
470300/20833 11631266/20833 1409900/62499 35143798/62499 
1502/5 -2000/5 7598/25 -10000/25 
15240600/62501 35089600/62501 4669800/20833 11697800/20833 
3986100/62501 34866502/62501 5161100/62501 34871202/62501 
18875202/62501 1225020/62501 18870202/62501 1225040/62501 
1333300/20833 4211266/20833 3996100/62501 13616202/62501 
6615600/62501 8626600/62501 2204800/20833 2957800/20833 
246100/62501 26101402/62501 244900/62499 26398598/62499 
5543266/20833 1661300/20833 16370202/62501 4985100/62501 
3020/5 -2116/5 3020/5 -2114/5 
43878998/62499 3699922/62499 12543166/20833 1241640/20833 
-466/1 -410/1 -456/1 -400/1 
30105202/62501 1180100/62501 2408/5 0/5 
8043266/20833 1651300/20833 24129698/62499 4978900/62499 
23985600/62501 33804600/62501 22764400/62499 33808400/62499 
10419532/20833 -9241840/20833 62518/125 -55500/125 
34015600/62501 33736600/62501 34014400/62499 33763400/62499 
-27350542/62499 62743900/62499 -27375458/62501 62746004/62501 
3999916/62499 18879698/62499 1324972/20833 6293266/20833 
27615202/62501 3690100/62501 27610402/62501 2490100/62501 
-456/1 604/1 -57002/125 75500/125 
493300/20833 7964566/20833 1476100/62501 24856302/62501 
56495904/62501 -27625462/62501 904/1 -442/1 
18915600/62501 16324600/62501 5944800/20833 5442800/20833 
18874400/62499 6175400/62499 60686/201 16100/201 
3994900/62499 13883798/62499 2744900/62499 13888798/62499 
-54502/125 75500/125 -9091834/20833 14661300/20833 
34144598/62499 1213900/62499 34144498/62499 1238900/62499 
3941100/62501 27366202/62501 1313300/20833 9211266/20833 
-26175458/62501 50241004/62501 -26175478/62501 50236004/62501 
1421100/62501 32356202/62501 1420900/62499 32393798/62499 
7790600/62501 27381600/62501 7789400/62499 27618400/62499 
179900/62499 36398698/62499 175084/62501 37605302/62501 
26434400/62499 21205400/62499 26430600/62501 20044600/62501 
-2194/5 3020/5 -2196/5 3020/5 
2700084/62501 31365302/62501 2725084/62501 31365402/62501 
23920600/62501 17554600/62501 23919400/62499 17445400/62499 
24035600/62501 28696600/62501 8404800/20833 9566800/20833 
3029800/20833 5037800/20833 9085600/62501 16136600/62501 
-430/1 400/1 -420/1 400/1 
-420/1 204/1 -430/1 204/1 
62738900/62499 -28850498/62499 62738600/62501 -28274502/62501 
37513496/62499 -26475520/62499 3020/5 -2118/5 
50133998/62499 1174942/62499 16709666/20833 391654/20833 
35389798/62499 2408900/62499 11713266/20833 803300/20833 
10329400/62499 17608400/62499 10325600/62501 18641600/62501 
12889798/62499 2498900/62499 12884798/62499 3748900/62499 
7506/25 -11000/25 7504/25 -11000/25 
-400/1 96/1 -400/1 100/1 
-27425458/62501 43995904/62501 -27450458/62501 43996004/62501 
-10900/25 7506/25 -53750/125 37533/125 
100/1 178/1 6394400/62499 11125400/62499 
10519800/20833 7507800/20833 31555600/62501 23726600/62501 
-400/1 576/1 156100/62501 36101202/62501 
33870302/62501 4940100/62501 32879698/62499 4943900/62499 
10461566/20833 1233300/20833 31384598/62499 3724900/62499 
-27400498/62501 43985804/62501 -27425498/62501 43985904/62501 
1004/1 -442/1 20916300/20833 -9200186/20833 
50241004/62501 -28925502/62501 50240904/62501 -28900502/62501 
-9116854/20833 20916300/20833 -438/1 1004/1 
