2704
0/1 26/1 2/27 650/27
0/1 25/1 2/27 650/27
0/1 27/1 2/27 754/27
0/1 26/1 2/27 754/27
2/27 650/27 6/54 1248/54
0/1 24/1 6/54 1248/54
0/1 28/1 6/54 1560/54
2/27 754/27 6/54 1560/54
6/54 1248/54 12/81 1794/81
0/1 23/1 12/81 1794/81
0/1 29/1 12/81 2418/81
6/54 1560/54 12/81 2418/81
12/81 1794/81 20/108 2288/108
0/1 22/1 20/108 2288/108
0/1 30/1 20/108 3328/108
12/81 2418/81 20/108 3328/108
20/108 2288/108 30/135 2730/135
0/1 21/1 30/135 2730/135
2/27 650/27 6/27 600/27
6/54 1248/54 6/27 600/27
6/54 1560/54 6/27 804/27
2/27 754/27 6/27 804/27
0/1 31/1 30/135 4290/135
20/108 3328/108 30/135 4290/135
30/135 2730/135 42/162 3120/162
0/1 20/1 42/162 3120/162
0/1 32/1 42/162 5304/162
30/135 4290/135 42/162 5304/162
42/162 3120/162 56/189 3458/189
0/1 19/1 56/189 3458/189
6/27 600/27 16/54 1150/54
12/81 1794/81 16/54 1150/54
12/81 2418/81 16/54 1658/54
6/27 804/27 16/54 1658/54
0/1 33/1 56/189 6370/189
42/162 5304/162 56/189 6370/189
56/189 3458/189 72/216 3744/216
0/1 18/1 72/216 3744/216
0/1 34/1 72/216 7488/216
56/189 6370/189 72/216 7488/216
72/216 3744/216 90/243 3978/243
0/1 17/1 90/243 3978/243
16/54 1150/54 30/81 1650/81
20/108 2288/108 30/81 1650/81
20/108 3328/108 30/81 2562/81
16/54 1658/54 30/81 2562/81
0/1 35/1 90/243 8658/243
72/216 7488/216 90/243 8658/243
90/243 3978/243 110/270 4160/270
0/1 16/1 110/270 4160/270
0/1 36/1 110/270 9880/270
90/243 8658/243 110/270 9880/270
110/270 4160/270 132/297 4290/297
0/1 15/1 132/297 4290/297
30/81 1650/81 48/108 2100/108
30/135 2730/135 48/108 2100/108
6/27 600/27 12/27 552/27
16/54 1150/54 12/27 552/27
16/54 1658/54 12/27 852/27
6/27 804/27 12/27 852/27
30/135 4290/135 48/108 3516/108
30/81 2562/81 48/108 3516/108
0/1 37/1 132/297 11154/297
110/270 9880/270 132/297 11154/297
132/297 4290/297 156/324 4368/324
0/1 14/1 156/324 4368/324
0/1 38/1 156/324 12480/324
132/297 11154/297 156/324 12480/324
156/324 4368/324 182/351 4394/351
