100
-128.688 60.0162  -157.481 -74.6791
-157.481 -74.6791  -265.144 -41.8013
-265.144 -41.8013  -112.675 -118.793
-112.675 -118.793  -30.3454 -103.707
-30.3454 -103.707  91.3713 -5.70166
91.3713 -5.70166  132.624 -104.817
132.624 -104.817  -35.9187 -499.063
-35.9187 -499.063  410.378 -674.554
410.378 -674.554  -187.66 -697.298
-187.66 -697.298  1891.1 -898.132
1891.1 -898.132  2300.7 -1218.64
2300.7 -1218.64  1272.45 -1092.5
1272.45 -1092.5  1191.77 -1074.72
1191.77 -1074.72  -421.042 -1242.83
-421.042 -1242.83  -377.116 -789.586
-377.116 -789.586  -204.937 -626.045
-204.937 -626.045  -492.117 -598.02
-492.117 -598.02  -5.73522 -209.207
-5.73522 -209.207  -108.954 -262.905
-108.954 -262.905  -1038.94 -977
-1038.94 -977  -492.877 -1207.43
-492.877 -1207.43  -1254.71 -1028.72
-1254.71 -1028.72  -1429.89 -1183.19
-1429.89 -1183.19  -591.157 -411.837
-591.157 -411.837  -569.854 -355.491
-569.854 -355.491  -1701.56 -1044.04
-1701.56 -1044.04  -2426.9 -1066.39
-2426.9 -1066.39  -2147.33 -270.151
-2147.33 -270.151  -1754.17 1030.65
-1754.17 1030.65  -1222.58 -374.787
-1222.58 -374.787  -1218.04 -5.43747
-1218.04 -5.43747  -1338.72 963.374
-1338.72 963.374  -1699.94 906.581
-1699.94 906.581  -1689.25 943.085
-1689.25 943.085  -1349.64 1226.77
-1349.64 1226.77  -164.989 1435.5
-164.989 1435.5  1455.11 1487.38
1455.11 1487.38  -470.014 1047.2
-470.014 1047.2  -1221.21 -269.507
-1221.21 -269.507  -565.824 586.094
-565.824 586.094  -454.488 977.495
-454.488 977.495  -772.598 -270.904
-772.598 -270.904  -374.086 -320.925
-374.086 -320.925  -616.603 198.889
-616.603 198.889  -281.932 -235.378
-281.932 -235.378  -180.105 -99.7049
-180.105 -99.7049  -380.831 -33.4031
-380.831 -33.4031  -158.642 33.1096
-158.642 33.1096  -318.791 19.895
-318.791 19.895  -314.965 107.624
-314.965 107.624  -267.149 97.2421
-267.149 97.2421  -474.459 400.449
-474.459 400.449  34.281 829.339
34.281 829.339  -61.2361 541.012
-61.2361 541.012  -217.223 418.308
-217.223 418.308  7.37644 269.127
7.37644 269.127  55.6044 594.623
55.6044 594.623  62.2177 98.2289
62.2177 98.2289  -48.4802 86.9199
-48.4802 86.9199  -159.185 81.3915
-159.185 81.3915  22.1348 87.5822
22.1348 87.5822  28.2376 -3.75756
28.2376 -3.75756  156.172 203.396
156.172 203.396  378.87 736.702
378.87 736.702  125.218 70.3346
125.218 70.3346  186.557 -81.1465
186.557 -81.1465  287.213 -38.7672
287.213 -38.7672  366.676 181.869
366.676 181.869  545.61 1064.53
545.61 1064.53  2383.44 1591.52
2383.44 1591.52  1307.51 1226.62
1307.51 1226.62  657.369 847.761
657.369 847.761  2234.85 1294.08
2234.85 1294.08  2378.8 889.164
2378.8 889.164  602.277 172.761
602.277 172.761  2430.09 586.963
2430.09 586.963  2300.14 520.327
2300.14 520.327  2110.4 -151.661
2110.4 -151.661  1262.54 188.344
1262.54 188.344  2247.45 -348.537
2247.45 -348.537  1306.44 126.412
1306.44 126.412  1901.44 -215.749
1901.44 -215.749  358.921 41.1735
358.921 41.1735  630.494 -110.407
630.494 -110.407  1810.38 -490.501
1810.38 -490.501  291.628 -72.2277
291.628 -72.2277  984.71 -415.74
984.71 -415.74  1239.74 -579.278
1239.74 -579.278  367.546 -484.434
367.546 -484.434  670.715 -387.895
670.715 -387.895  517.323 -392.528
517.323 -392.528  541.262 -209.114
541.262 -209.114  216.461 -570.602
216.461 -570.602  251.057 -313.755
251.057 -313.755  138.59 -19.9641
138.59 -19.9641  107.846 18.463
107.846 18.463  8.74552 -25.4702
8.74552 -25.4702  13.9928 -35.6583
13.9928 -35.6583  19.2401 -45.8463
19.2401 -45.8463  -128.688 60.0162
closing current file: file polygon.ps has been created in /home/ezra/random_polygon
