24559
-24219506809241608/2199023255552 6886285062963193/2199023255552 -6095978364927985/549755813888 1722037043200001/549755813888 
16500464078028802/2199023255552 8397588004863997/2199023255552 8250644758528003/1099511627776 4212835693363199/1099511627776 
28370077640294428/2199023255552 7702580926873611/2199023255552 28313880677580772/2199023255552 7723439200665597/2199023255552 
-17104937104179248/1099511627776 2224293727436803/1099511627776 -68290711493017680/4398046511104 8841989613158413/4398046511104 
-3561800859648003/1099511627776 9014960193535996/1099511627776 -7156721621401605/2199023255552 17983984369663998/2199023255552 
-5058974869094393/17592186044416 24069753379225600/17592186044416 -1342549314764799/4398046511104 5854833147903997/4398046511104 
-7525778430361601/2199023255552 18344238173388808/2199023255552 -1834795768217598/549755813888 4590510958182399/549755813888 
-7179879212646395/2199023255552 -17438347362303994/2199023255552 -3827824590847997/1099511627776 -8702181716787197/1099511627776 
-8470242577612797/1099511627776 4222309787238395/1099511627776 -16895258814054396/2199023255552 8440052816281603/2199023255552 
16598847350374372/1099511627776 -3874256374988795/1099511627776 16582479498444854/1099511627776 -3889708190924803/1099511627776 
6090935133798393/2199023255552 9327789001932808/2199023255552 6115821197721601/2199023255552 9331280340582402/2199023255552 
49525774562099104/4398046511104 -3130385445683199/4398046511104 24791838044979096/2199023255552 -1593752367923199/2199023255552 
235781383362969056/17592186044416 -5753984463667193/17592186044416 117829112587878784/8796093022208 -2787685643059199/8796093022208 
-1258887839744001/4398046511104 22515671472537588/4398046511104 -622210370764799/2199023255552 11291295376998396/2199023255552 
44965012543897464/4398046511104 2647391207424001/4398046511104 22433538611609660/2199023255552 1289074035916801/2199023255552 
9438872626790410/549755813888 -2430512345907201/549755813888 18865588482867208/1099511627776 -4873121064550399/1099511627776 
14346940632268780/4398046511104 -7253579844812821/4398046511104 7057987705241597/2199023255552 -3592516167270405/2199023255552 
-11024840471347166/1099511627776 8282800809574403/1099511627776 -10987048953446404/1099511627776 8302040082022401/1099511627776 
26671720064614508/2199023255552 8988333074022389/2199023255552 26655300203315164/2199023255552 8986891911167999/2199023255552 
2242158107033603/1099511627776 5996620755763197/1099511627776 2257338761216003/1099511627776 6001242039910401/1099511627776 
-6151170791833603/549755813888 1369276678144002/549755813888 -24620737285324696/2199023255552 5503636104806403/2199023255552 
-10403981138329600/1099511627776 5443084196249601/1099511627776 -5179815283916799/549755813888 2703054235238401/549755813888 
4417281589248004/2199023255552 -7691153126195191/2199023255552 8586991029452817/4398046511104 -15268207761817594/4398046511104 
-12812056054988824/1099511627776 8138188757401605/1099511627776 -12693863084851172/1099511627776 8097848780390403/1099511627776 
-7173857030963200/549755813888 3050174624563199/549755813888 -14369375125504006/1099511627776 6133754363904005/1099511627776 
19791207622246408/2199023255552 5873980565094391/2199023255552 19705222712524804/2199023255552 5895111468646393/2199023255552 
-14500841390079996/2199023255552 -4817200506470405/2199023255552 -7264867555737599/1099511627776 -2421953029734402/1099511627776 
-3927730395545601/4398046511104 23176767602688012/4398046511104 -4139452989439999/4398046511104 23157300998963192/4398046511104 
15502785118208028/1099511627776 4482319725363203/1099511627776 31084560724787188/2199023255552 8990132430438397/2199023255552 
4649042889932795/2199023255552 -4375630053375992/2199023255552 9289516816793582/4398046511104 -8988985707724799/4398046511104 
5413569717862401/2199023255552 12781352071987204/2199023255552 2715843087564804/1099511627776 6402469999411201/1099511627776 
-3900/1 -9000/1 -4000/1 -9000/1 
-10724441902284800/1099511627776 2720911694233599/1099511627776 -21466618999603192/2199023255552 5327150697676791/2199023255552 
-9269080489984004/1099511627776 8082293784575999/1099511627776 -4602691636428803/549755813888 4046033675878400/549755813888 
-21064234251059192/2199023255552 3492564854374405/2199023255552 -42278101136179200/4398046511104 6934492715417607/4398046511104 
6197028795187210/4398046511104 -1128442259046401/4398046511104 6257269486387189/4398046511104 -1142063575859201/4398046511104 
10903961468928008/2199023255552 8651501102694397/2199023255552 2723651203891201/549755813888 2160536112332798/549755813888 
-14995103206604808/2199023255552 -5406697770188801/2199023255552 -15015343239987208/2199023255552 -5437541842944009/2199023255552 
6563315266355222/549755813888 2788289622835199/549755813888 13147506422579170/1099511627776 5597642201497603/1099511627776 
10930899376464998/2199023255552 6017566503842239/2199023255552 11043841630812892/2199023255552 5888864865166741/2199023255552 
-8722029163315210/549755813888 3214451880755201/549755813888 -8726219273011200/549755813888 3213308932915199/549755813888 
4523701567487993/2199023255552 9419309554073598/2199023255552 565324650905599/274877906944 1178518159359999/274877906944 
13746239963136018/1099511627776 8100674063564797/1099511627776 13803081170943962/1099511627776 8085923535257597/1099511627776 
7062119933542403/2199023255552 -5348695579033596/2199023255552 7029467276902393/2199023255552 -5255200348569603/2199023255552 
-5898877114777595/549755813888 4175960211456001/549755813888 -11708459175116844/1099511627776 8331838095360005/1099511627776 
3325137885593604/1099511627776 5100141543423997/1099511627776 6654019187507197/2199023255552 10202778697728008/2199023255552 
15783082065919998/2199023255552 7774989713408007/2199023255552 15794904970035194/2199023255552 7822846722048005/2199023255552 
3241519611903993/2199023255552 11776899311206390/2199023255552 3232337022156807/2199023255552 11795949001113596/2199023255552 
53027377512448024/4398046511104 -1266840554700801/4398046511104 211718184842035520/17592186044416 -5381260155289591/17592186044416 
1363732332544000/274877906944 1276824046796801/274877906944 5444437278720001/1099511627776 5098397971251197/1099511627776 
