1958
161/1 639/1 11747010150/28536870 17794678170/28536870
321/1 383/1 11747010150/28536870 17794678170/28536870
27/1 768/1 2202572385/4709160 3637347705/4709160
11747010150/28536870 17794678170/28536870 2202572385/4709160 3637347705/4709160
81/1 1016/1 13590460065/19150865 27088652095/19150865
2202572385/4709160 3637347705/4709160 13590460065/19150865 27088652095/19150865
640/1 3600/1 17739157992/21952734 51583636566/21952734
219/1 2534/1 17739157992/21952734 51583636566/21952734
100/1 1037/1 14367877710/17167565 30081967260/17167565
13590460065/19150865 27088652095/19150865 14367877710/17167565 30081967260/17167565
17739157992/21952734 51583636566/21952734 8679685788/9964626 18745221249/9964626
643/1 1999/1 8679685788/9964626 18745221249/9964626
8679685788/9964626 18745221249/9964626 4645825560/5310435 9839802330/5310435
14367877710/17167565 30081967260/17167565 4645825560/5310435 9839802330/5310435
4645825560/5310435 9839802330/5310435 28356655752/32134350 57727378926/32134350
14367877710/17167565 30081967260/17167565 28356655752/32134350 57727378926/32134350
8679685788/9964626 18745221249/9964626 10757519835/12180965 22838446785/12180965
4645825560/5310435 9839802330/5310435 10757519835/12180965 22838446785/12180965
28356655752/32134350 57727378926/32134350 26272101444/28675524 44315248167/28675524
13590460065/19150865 27088652095/19150865 26272101444/28675524 44315248167/28675524
10757519835/12180965 22838446785/12180965 38817346974/41495476 76679440749/41495476
28356655752/32134350 57727378926/32134350 38817346974/41495476 76679440749/41495476
26272101444/28675524 44315248167/28675524 5067285804/4971069 3867013197/4971069
2202572385/4709160 3637347705/4709160 5067285804/4971069 3867013197/4971069
17739157992/21952734 51583636566/21952734 25251881790/24391460 55580656390/24391460
10757519835/12180965 22838446785/12180965 25251881790/24391460 55580656390/24391460
5067285804/4971069 3867013197/4971069 30365830008/29048580 16980378354/29048580
11747010150/28536870 17794678170/28536870 30365830008/29048580 16980378354/29048580
30365830008/29048580 16980378354/29048580 1084/1 297/1
38817346974/41495476 76679440749/41495476 35442942742/29840182 51251909668/29840182
26272101444/28675524 44315248167/28675524 35442942742/29840182 51251909668/29840182
787/1 7025/1 49256510226/38285484 244873261995/38285484
36/1 6349/1 49256510226/38285484 244873261995/38285484
25251881790/24391460 55580656390/24391460 99268657496/76628134 168376181806/76628134
38817346974/41495476 76679440749/41495476 99268657496/76628134 168376181806/76628134
1170/1 1148/1 22969757300/17457769 20970218017/17457769
1265/1 1063/1 22969757300/17457769 20970218017/17457769
1168/1 6928/1 19595032326/14696847 94026564846/14696847
49256510226/38285484 244873261995/38285484 19595032326/14696847 94026564846/14696847
19595032326/14696847 94026564846/14696847 3685137035/2700989 17010857855/2700989
49256510226/38285484 244873261995/38285484 3685137035/2700989 17010857855/2700989
755/1 5350/1 16481701559/11746819 59516301655/11746819
1121/1 3617/1 16481701559/11746819 59516301655/11746819
35442942742/29840182 51251909668/29840182 49563096911/34071853 53821555847/34071853
22969757300/17457769 20970218017/17457769 49563096911/34071853 53821555847/34071853
1147/1 5421/1 9361410124/6427664 34328467564/6427664
16481701559/11746819 59516301655/11746819 9361410124/6427664 34328467564/6427664
1417/1 5868/1 12130430643/8219988 44716020795/8219988
9361410124/6427664 34328467564/6427664 12130430643/8219988 44716020795/8219988
