43
7
    89494154/100000000 -154340947/100000000
    89512189/100000000 -154885004/100000000
    89445331/100000000 -155338170/100000000
    89293577/100000000 -155700447/100000000
    89056928/100000000 -155971834/100000000
    88735384/100000000 -156152330/100000000
    88328945/100000000 -156241937/100000000
7
    88328945/100000000 -156241937/100000000
    88112094/100000000 -156286851/100000000
    87704061/100000000 -156324906/100000000
    87104847/100000000 -156356103/100000000
    86314451/100000000 -156380440/100000000
    85332874/100000000 -156397919/100000000
    84160116/100000000 -156408539/100000000
4
    84160116/100000000 -156408539/100000000
    80913638/100000000 -156438408/100000000
    77667161/100000000 -156468277/100000000
    74420683/100000000 -156498146/100000000
7
    74420683/100000000 -156498146/100000000
    75984781/100000000 -157518114/100000000
    77246712/100000000 -158655787/100000000
    78206478/100000000 -159911167/100000000
    78864079/100000000 -161284251/100000000
    79219514/100000000 -162775042/100000000
    79272783/100000000 -164383538/100000000
7
    79272783/100000000 -164383538/100000000
    79341152/100000000 -166451351/100000000
    78798898/100000000 -168361059/100000000
    77646021/100000000 -170112660/100000000
    75882521/100000000 -171706155/100000000
    73508398/100000000 -173141544/100000000
    70523652/100000000 -174418827/100000000
7
    70523652/100000000 -174418827/100000000
    67780085/100000000 -175578847/100000000
    64778142/100000000 -176514297/100000000
    61517823/100000000 -177225177/100000000
    57999128/100000000 -177711487/100000000
    54222057/100000000 -177973228/100000000
    50186610/100000000 -178010398/100000000
7
    50186610/100000000 -178010398/100000000
    48332678/100000000 -178027434/100000000
    46460459/100000000 -177986857/100000000
    44569952/100000000 -177888665/100000000
    42661157/100000000 -177732860/100000000
    40734075/100000000 -177519441/100000000
    38788705/100000000 -177248409/100000000
7
    38788705/100000000 -177248409/100000000
    36774966/100000000 -178205320/100000000
    35168757/100000000 -179115149/100000000
    33970077/100000000 -179977896/100000000
    33178926/100000000 -180793561/100000000
    32795305/100000000 -181562143/100000000
    32819213/100000000 -182283643/100000000
7
    32819213/100000000 -182283643/100000000
    32840185/100000000 -182918634/100000000
    33299977/100000000 -183457159/100000000
    34198589/100000000 -183899219/100000000
    35536020/100000000 -184244813/100000000
    37312271/100000000 -184493942/100000000
    39527342/100000000 -184646606/100000000
7
    39527342/100000000 -184646606/100000000
    40320086/100000000 -184697051/100000000
    41560207/100000000 -184740505/100000000
    43247704/100000000 -184776967/100000000
    45382578/100000000 -184806437/100000000
    47964828/100000000 -184828917/100000000
    50994454/100000000 -184844404/100000000
7
    50994454/100000000 -184844404/100000000
    56588546/100000000 -184864759/100000000
    61402896/100000000 -184903832/100000000
    65437504/100000000 -184961623/100000000
    68692370/100000000 -185038132/100000000
    71167495/100000000 -185133358/100000000
    72862877/100000000 -185247303/100000000
7
    72862877/100000000 -185247303/100000000
    75296058/100000000 -185411913/100000000
    77547536/100000000 -185687548/100000000
    79617312/100000000 -186074207/100000000
    81505386/100000000 -186571889/100000000
    83211758/100000000 -187180595/100000000
    84736428/100000000 -187900325/100000000
7
    84736428/100000000 -187900325/100000000
    86396578/100000000 -188704795/100000000
    87732835/100000000 -189595729/100000000
    88745199/100000000 -190573128/100000000
    89433670/100000000 -191636992/100000000
    89798249/100000000 -192787321/100000000
    89838934/100000000 -194024115/100000000
7
