52
4
    90000000/100000000 -208313601/100000000
    82375743/100000000 -208477079/100000000
    74751487/100000000 -208640556/100000000
    67127230/100000000 -208804033/100000000
4
    67127230/100000000 -208804033/100000000
    67116612/100000000 -208049425/100000000
    67105994/100000000 -207294816/100000000
    67095376/100000000 -206540207/100000000
4
    67095376/100000000 -206540207/100000000
    67416765/100000000 -206533515/100000000
    67738154/100000000 -206526823/100000000
    68059544/100000000 -206520131/100000000
7
    68059544/100000000 -206520131/100000000
    69835084/100000000 -206481891/100000000
    71318810/100000000 -206143783/100000000
    72510722/100000000 -205505807/100000000
    73410819/100000000 -204567963/100000000
    74019102/100000000 -203330252/100000000
    74335571/100000000 -201792673/100000000
7
    74335571/100000000 -201792673/100000000
    74398761/100000000 -201481014/100000000
    74444496/100000000 -200892560/100000000
    74472776/100000000 -200027309/100000000
    74483602/100000000 -198885262/100000000
    74476972/100000000 -197466419/100000000
    74452887/100000000 -195770780/100000000
4
    74452887/100000000 -195770780/100000000
    74337384/100000000 -187623045/100000000
    74221880/100000000 -179475310/100000000
    74106377/100000000 -171327575/100000000
7
    74106377/100000000 -171327575/100000000
    74073228/100000000 -168990774/100000000
    73953167/100000000 -166937141/100000000
    73746193/100000000 -165166679/100000000
    73452307/100000000 -163679386/100000000
    73071508/100000000 -162475262/100000000
    72603798/100000000 -161554308/100000000
7
    72603798/100000000 -161554308/100000000
    71945739/100000000 -160244578/100000000
    71126442/100000000 -159203039/100000000
    70145907/100000000 -158429693/100000000
    69004133/100000000 -157924538/100000000
    67701121/100000000 -157687576/100000000
    66236870/100000000 -157718805/100000000
7
    66236870/100000000 -157718805/100000000
    64486450/100000000 -157756408/100000000
    62649067/100000000 -158313060/100000000
    60724719/100000000 -159388760/100000000
    58713407/100000000 -160983508/100000000
    56615130/100000000 -163097305/100000000
    54429890/100000000 -165730150/100000000
4
    54429890/100000000 -165730150/100000000
    54399590/100000000 -165958317/100000000
    54369290/100000000 -166186484/100000000
    54338989/100000000 -166414651/100000000
4
    54338989/100000000 -166414651/100000000
    54385346/100000000 -167303101/100000000
    54431703/100000000 -168191551/100000000
    54478060/100000000 -169080001/100000000
4
    54478060/100000000 -169080001/100000000
    54605994/100000000 -178117142/100000000
    54733928/100000000 -187154283/100000000
    54861862/100000000 -196191424/100000000
7
    54861862/100000000 -196191424/100000000
    54883357/100000000 -197700960/100000000
    54911534/100000000 -198970411/100000000
    54946392/100000000 -199999776/100000000
    54987932/100000000 -200789056/100000000
    55036153/100000000 -201338250/100000000
    55091056/100000000 -201647360/100000000
7
    55091056/100000000 -201647360/100000000
    55238931/100000000 -202616433/100000000
    55489465/100000000 -203471614/100000000
    55842656/100000000 -204212902/100000000
    56298506/100000000 -204840298/100000000
    56857014/100000000 -205353802/100000000
    57518180/100000000 -205753413/100000000
7
    57518180/100000000 -205753413/100000000
    58009976/100000000 -206073675/100000000
    58638563/100000000 -206324850/100000000
    59403941/100000000 -206506938/100000000
    60306110/100000000 -206619938/100000000
    61345070/100000000 -206663851/100000000
    62520822/100000000 -206638676/100000000
4
    62520822/100000000 -206638676/100000000
    62531440/100000000 -207393285/100000000
    62542058/100000000 -208147893/100000000
    62552676/100000000 -208902502/100000000
4
    62552676/100000000 -208902502/100000000
    54762674/100000000 -209069803/100000000
    46972673/100000000 -209237105/100000000
    39182671/100000000 -209404406/100000000
4
    39182671/100000000 -209404406/100000000
    39172053/100000000 -208649797/100000000
    39161435/100000000 -207895189/100000000
    39150817/100000000 -207140580/100000000
7
    39150817/100000000 -207140580/100000000
    41200095/100000000 -207096604/100000000
    42909182/100000000 -206762065/100000000
    44278078/100000000 -206136963/100000000
    45306783/100000000 -205221299/100000000
    45995297/100000000 -204015072/100000000
    46343620/100000000 -202518283/100000000
7
    46343620/100000000 -202518283/100000000
    46422608/100000000 -202164878/100000000
    46480981/100000000 -201543027/100000000
    46518740/100000000 -200652729/100000000
    46535884/100000000 -199493984/100000000
    46532413/100000000 -198066792/100000000
    46508329/100000000 -196371153/100000000
4
    46508329/100000000 -196371153/100000000
    46392825/100000000 -188223737/100000000
    46277322/100000000 -180076320/100000000
    46161819/100000000 -171928904/100000000
7
    46161819/100000000 -171928904/100000000
    46128670/100000000 -169592102/100000000
    45988305/100000000 -167526552/100000000
    45740723/100000000 -165732253/100000000
    45385926/100000000 -164209205/100000000
    44923913/100000000 -162957409/100000000
    44354683/100000000 -161976864/100000000
7
    44354683/100000000 -161976864/100000000
    43595365/100000000 -160669364/100000000
    42722046/100000000 -159629036/100000000
    41734726/100000000 -158855881/100000000
    40633404/100000000 -158349898/100000000
    39418081/100000000 -158111087/100000000
    38088756/100000000 -158139449/100000000
7
    38088756/100000000 -158139449/100000000
    37196843/100000000 -158158569/100000000
    36303220/100000000 -158297700/100000000
    35407887/100000000 -158556842/100000000
    34510846/100000000 -158935994/100000000
    33612095/100000000 -159435158/100000000
