100
761 -584 331	12321
526 -634 133	24964
-170 68 -345	28224
77 862 -811	23409
-790 222 -93	576
-228 263 -846	47961
458 -747 -520	31684
662 505 13	24964
88 -187 -698	11236
584 -350 899	1369
-999 981 628	25600
-634 114 389	8100
433 769 -83	32041
295 958 746	13924
-482 -135 -176	5776
781 17 32	43681
-965 497 803	55225
539 -489 261	256
-648 -187 -75	61504
1 -288 -986	7396
-16 -659 598	55225
-901 730 598	9604
868 -353 963	14641
826 -607 396	22801
-309 215 -307	33489
708 -751 210	53824
205 -948 -8	44521
716 313 25	28900
-471 -761 -434	12100
240 -748 -82	52900
580 849 919	34969
310 447 -97	48841
957 410 1	19044
-650 -192 -130	11025
565 500 -304	15376
813 -289 386	26244
865 702 94	5625
179 -271 -699	2809
417 293 -983	5041
668 -789 -454	32761
518 -870 785	7921
-34 32 366	52900
-623 -966 -322	484
184 -96 -365	361
-314 599 -15	9604
395 -14 -450	9409
98 -919 -636	51529
826 -618 -770	6889
119 -602 408	12769
330 -57 -174	51076
459 -271 -505	28561
-507 -905 -987	9604
-474 -228 -21	5476
429 405 355	1600
28 -609 -459	61504
-986 -59 225	49
-905 303 -378	484
-524 533 719	43681
-126 -58 545	31329
816 767 -334	17424
-455 -738 995	36100
-361 -725 455	12996
410 253 947	10609
-183 -391 -526	6084
206 149 902	47961
-853 -625 -69	51076
450 -3 -55	57600
-16 -284 39	2025
925 -738 515	900
692 -72 -611	3721
953 -77 -795	50625
-771 -621 -250	13924
481 -673 388	1681
-909 -199 -201	61009
240 -296 614	18496
614 633 -178	19321
-389 -421 -31	9025
326 618 -581	12996
588 133 402	49284
-484 522 327	42849
438 727 19	8100
817 -523 -26	19881
-856 864 202	3136
-56 -336 -315	26569
646 -722 -224	32400
280 99 -984	2916
859 -932 630	28900
477 -514 -758	40401
-388 888 567	196
-865 215 156	9604
861 -764 672	6889
-662 209 110	41209
-797 -588 -71	44521
-134 95 71	34596
142 870 -984	1024
-757 886 661	32761
-690 516 -57	26569
-204 757 -198	529
-316 325 -720	51076
899 -518 -108	36864
