2D_DELAUNAY_TRIANGULATIONS    2D Delaunay Triangulations
2D_REGULAR_TRIANGULATIONS     2D Regular Triangulations
2D_TRIANGULATIONS             2D Triangulations
AABB_TREE                     AABB Tree
ALPHA_SHAPES_2                2D Alpha Shapes
ALPHA_SHAPES_3                3D Alpha Shapes
APOLLONIUS_GRAPH_2            2D Apollonius Graph
ARRANGEMENT_ON_SURFACE_2      2D Arrangements
BARYCENTRIC_COORDINATES_2     2D Barycentric Coordinates
BOOLEAN_SET_OPERATIONS_2      2D Boolean Set Operations
BOX_INTERSECTION_D            Intersecting Sequences of dD Iso-oriented Boxes
