64
100/1 -10/1
100/1 500/1
500/1 498/1
110/1 495/1
110/1 450/1
500/1 448/1
110/1 445/1
110/1 400/1
500/1 398/1
110/1 395/1
110/1 350/1
500/1 348/1
110/1 345/1
110/1 300/1
500/1 298/1
110/1 295/1
110/1 250/1
500/1 248/1
110/1 245/1
110/1 200/1
500/1 198/1
110/1 195/1
110/1 150/1
500/1 148/1
110/1 145/1
110/1 100/1
500/1 98/1
110/1 95/1
110/1 50/1
500/1 48/1
110/1 45/1
110/1 0/1
600/1 0/1
602/1 500/1
605/1 0/1
610/1 0/1
612/1 500/1
615/1 0/1
620/1 0/1
622/1 500/1
625/1 0/1
630/1 0/1
632/1 500/1
635/1 0/1
640/1 0/1
642/1 500/1
645/1 0/1
650/1 0/1
652/1 500/1
655/1 0/1
660/1 0/1
662/1 500/1
665/1 0/1
670/1 0/1
672/1 500/1
675/1 0/1
680/1 0/1
682/1 500/1
685/1 0/1
690/1 0/1
692/1 500/1
695/1 0/1
700/1 0/1
700/1 -10/1
